,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,max_depth,min_samples_split,n_estimators
48,RF,0.3333333333333333,0.5583333333333332,1.0,0.19539845330901562,,True,,,2,10,
47,RF,0.2,0.47999999999999987,1.0,0.2072036035722674,,True,,,2,7,
41,RF,0.25,0.4749999999999999,0.8,0.1579820664927932,,True,,,3,5,
42,RF,0.3333333333333333,0.5383333333333333,0.8,0.1552864736185637,,True,,,3,7,
55,RF,0.25,0.45999999999999996,0.8,0.20672042311618205,,False,,,9,3,
26,AB,0.0,0.44833333333333336,0.8,0.2305127135563484,,,,,,,200
29,RF,0.3333333333333333,0.5666666666666667,0.8,0.12202003478482085,,True,,,9,2,
30,RF,0.3333333333333333,0.5133333333333333,0.8,0.1384035966135113,,True,,,9,3,
31,RF,0.25,0.5083333333333333,0.8,0.19497150788997064,,True,,,9,5,
34,RF,0.3333333333333333,0.5333333333333332,0.8,0.1349897115421106,,True,,,5,2,
43,RF,0.0,0.4216666666666667,0.8,0.20413094925670738,,True,,,3,10,
40,RF,0.2,0.4933333333333332,0.8,0.16519348924485158,,True,,,3,3,
59,RF,0.2,0.42833333333333334,0.75,0.18151369706504855,,False,,,5,2,
46,RF,0.0,0.43166666666666675,0.75,0.18744628860319187,,True,,,2,5,
44,RF,0.0,0.43166666666666664,0.75,0.1874462886031919,,True,,,2,2,
54,RF,0.2,0.35500000000000004,0.75,0.15829824172533735,,False,,,9,2,
57,RF,0.2,0.37,0.75,0.16563010998406458,,False,,,9,7,
58,RF,0.2,0.41500000000000004,0.75,0.17566540163997385,,False,,,9,10,
78,RF,0.2,0.38,0.75,0.15947831618540914,,False,,,,10,
62,RF,0.2,0.35500000000000004,0.75,0.15829824172533735,,False,,,5,7,
63,RF,0.2,0.42000000000000004,0.75,0.19476481543988722,,False,,,5,10,
77,RF,0.0,0.3266666666666667,0.75,0.2000277758490333,,False,,,,7,
76,RF,0.2,0.4,0.75,0.2057506581601462,,False,,,,5,
75,RF,0.2,0.375,0.75,0.14986104675109316,,False,,,,3,
74,RF,0.2,0.35500000000000004,0.75,0.15829824172533735,,False,,,,2,
73,RF,0.0,0.32166666666666666,0.75,0.19105700138382203,,False,,,2,10,
72,RF,0.0,0.3466666666666667,0.75,0.22593017603774057,,False,,,2,7,
71,RF,0.0,0.3266666666666667,0.75,0.21911437906059728,,False,,,2,5,
70,RF,0.0,0.3466666666666667,0.75,0.19632739096836294,,False,,,2,3,
69,RF,0.0,0.3416666666666667,0.75,0.1877128421582048,,False,,,2,2,
68,RF,0.0,0.3466666666666667,0.75,0.19632739096836294,,False,,,3,10,
67,RF,0.0,0.38,0.75,0.24526629518862872,,False,,,3,7,
66,RF,0.2,0.375,0.75,0.14986104675109316,,False,,,3,5,
65,RF,0.0,0.32166666666666666,0.75,0.19105700138382203,,False,,,3,3,
64,RF,0.0,0.32166666666666666,0.75,0.19105700138382203,,False,,,3,2,
56,RF,0.2,0.4499999999999999,0.75,0.19321835661585918,,False,,,9,5,
50,RF,0.2,0.48666666666666664,0.6666666666666666,0.1384035966135113,,True,,,,3,
49,RF,0.3333333333333333,0.49333333333333335,0.6666666666666666,0.10624918300339484,,True,,,,2,
51,RF,0.25,0.44833333333333325,0.6666666666666666,0.12212243401148246,,True,,,,5,
52,RF,0.2,0.42333333333333334,0.6666666666666666,0.16110727964792762,,True,,,,7,
53,RF,0.0,0.45499999999999996,0.6666666666666666,0.19437220880453962,,True,,,,10,
45,RF,0.0,0.41500000000000004,0.6666666666666666,0.18050084641229677,,True,,,2,3,
0,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,0.1,,1,linear,,,
1,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,,1,rbf,,,
20,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,5,,0.5,linear,,,
6,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,0.5,,1,linear,,,
12,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1,,1,linear,,,
13,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1,,1,rbf,,,
14,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1,,0.5,linear,,,
15,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1,,0.5,rbf,,,
16,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1,,0.1,linear,,,
17,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1,,0.1,rbf,,,
5,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,,0.1,rbf,,,
4,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,0.1,,0.1,linear,,,
18,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,5,,1,linear,,,
19,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,5,,1,rbf,,,
21,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,5,,0.5,rbf,,,
8,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,0.5,,0.5,linear,,,
22,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,5,,0.1,linear,,,
23,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,5,,0.1,rbf,,,
24,AB,0.0,0.4083333333333333,0.6666666666666666,0.19850132941060564,,,,,,,100
25,AB,0.0,0.42833333333333334,0.6666666666666666,0.206565835617714,,,,,,,150
27,AB,0.0,0.4533333333333333,0.6666666666666666,0.1984383475484962,,,,,,,250
28,AB,0.0,0.44833333333333336,0.6666666666666666,0.1927073198171546,,,,,,,300
32,RF,0.0,0.48,0.6666666666666666,0.18208667044996885,,True,,,9,7,
3,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,,0.5,rbf,,,
35,RF,0.3333333333333333,0.5266666666666666,0.6666666666666666,0.1030641655582687,,True,,,5,3,
36,RF,0.2,0.4733333333333333,0.6666666666666666,0.13646326326972477,,True,,,5,5,
2,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,0.1,,0.5,linear,,,
10,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,0.5,,0.1,linear,,,
61,RF,0.2,0.35,0.6,0.13165611772087665,,False,,,5,5,
38,RF,0.25,0.41500000000000004,0.6,0.10177589760514684,,True,,,5,10,
33,RF,0.0,0.3616666666666667,0.6,0.16932053757428378,,True,,,9,10,
37,RF,0.3333333333333333,0.45999999999999996,0.6,0.09865765724632494,,True,,,5,7,
39,RF,0.0,0.3816666666666667,0.6,0.1606324306538931,,True,,,3,2,
9,SVM,0.3333333333333333,0.42000000000000004,0.5,0.07023769168568493,0.5,,0.5,rbf,,,
7,SVM,0.3333333333333333,0.42000000000000004,0.5,0.07023769168568493,0.5,,1,rbf,,,
11,SVM,0.3333333333333333,0.42000000000000004,0.5,0.07023769168568493,0.5,,0.1,rbf,,,
