,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
46,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1,0.005,linear
45,SVM,0.2,0.6216666666666667,1.0,0.21744092428877215,1,0.01,rbf
44,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1,0.01,linear
42,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1,0.05,linear
40,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1,0.1,linear
69,SVM,0.2,0.6466666666666667,1.0,0.21638443156156642,5,0.0005,rbf
36,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1,1,linear
34,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.5,0.0001,linear
32,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.5,0.0005,linear
30,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.5,0.001,linear
26,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.5,0.01,linear
50,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1,0.0005,linear
24,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.5,0.05,linear
22,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.5,0.1,linear
20,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.5,0.5,linear
18,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.5,1,linear
16,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.1,0.0001,linear
14,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.1,0.0005,linear
12,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.1,0.001,linear
10,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.1,0.005,linear
8,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.1,0.01,linear
6,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.1,0.05,linear
4,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.1,0.1,linear
2,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,0.1,0.5,linear
49,SVM,0.2,0.54,1.0,0.21898756940875788,1,0.001,rbf
161,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1000,0.0001,rbf
52,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,1,0.0001,linear
62,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,5,0.01,linear
58,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,5,0.1,linear
66,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,5,0.001,linear
64,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,5,0.005,linear
56,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,5,0.5,linear
67,SVM,0.2,0.6133333333333333,1.0,0.2355607965873967,5,0.001,rbf
65,SVM,0.2,0.6266666666666666,1.0,0.2545366160081667,5,0.005,rbf
60,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,5,0.05,linear
68,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,5,0.0005,linear
54,SVM,0.4,0.7383333333333334,1.0,0.21095681495931287,5,1,linear
63,SVM,0.2,0.6266666666666666,1.0,0.2545366160081667,5,0.01,rbf
29,SVM,0.2,0.6016666666666666,0.8,0.1890693582318992,0.5,0.005,rbf
27,SVM,0.2,0.6016666666666666,0.8,0.1890693582318992,0.5,0.01,rbf
133,SVM,0.3333333333333333,0.5566666666666666,0.75,0.1436043948569201,500,0.05,rbf
43,SVM,0.3333333333333333,0.5233333333333332,0.75,0.15260697523012795,1,0.05,rbf
61,SVM,0.3333333333333333,0.5566666666666666,0.75,0.1436043948569201,5,0.05,rbf
115,SVM,0.3333333333333333,0.5566666666666666,0.75,0.1436043948569201,100,0.05,rbf
151,SVM,0.3333333333333333,0.5566666666666666,0.75,0.1436043948569201,1000,0.05,rbf
97,SVM,0.3333333333333333,0.5566666666666666,0.75,0.1436043948569201,50,0.05,rbf
79,SVM,0.3333333333333333,0.5566666666666666,0.75,0.1436043948569201,10,0.05,rbf
15,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,0.0005,rbf
17,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,0.0001,rbf
131,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,500,0.1,rbf
149,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1000,0.1,rbf
145,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1000,1,rbf
13,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,0.001,rbf
147,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1000,0.5,rbf
11,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,0.005,rbf
77,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,10,0.1,rbf
9,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,0.01,rbf
7,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,0.05,rbf
75,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,10,0.5,rbf
5,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,0.1,rbf
3,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,0.5,rbf
73,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,10,1,rbf
1,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,1,rbf
71,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,5,0.0001,rbf
37,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1,1,rbf
55,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,5,1,rbf
95,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,50,0.1,rbf
129,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,500,0.5,rbf
127,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,500,1,rbf
59,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,5,0.1,rbf
93,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,50,0.5,rbf
109,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,100,1,rbf
57,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,5,0.5,rbf
41,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1,0.1,rbf
111,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,100,0.5,rbf
91,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,50,1,rbf
39,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1,0.5,rbf
113,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,100,0.1,rbf
53,SVM,0.3333333333333333,0.42000000000000004,0.5,0.07023769168568493,1,0.0001,rbf
19,SVM,0.3333333333333333,0.42000000000000004,0.5,0.07023769168568493,0.5,1,rbf
21,SVM,0.3333333333333333,0.42000000000000004,0.5,0.07023769168568493,0.5,0.5,rbf
35,SVM,0.3333333333333333,0.42000000000000004,0.5,0.07023769168568493,0.5,0.0001,rbf
33,SVM,0.3333333333333333,0.42000000000000004,0.5,0.07023769168568493,0.5,0.0005,rbf
31,SVM,0.3333333333333333,0.42000000000000004,0.5,0.07023769168568493,0.5,0.001,rbf
25,SVM,0.3333333333333333,0.42000000000000004,0.5,0.07023769168568493,0.5,0.05,rbf
23,SVM,0.3333333333333333,0.42000000000000004,0.5,0.07023769168568493,0.5,0.1,rbf
51,SVM,0.3333333333333333,0.42000000000000004,0.5,0.07023769168568493,1,0.0005,rbf
